,Artist,Song,uri,Acousticness,Danceability,Liveness,Loudness,Speechiness
0,Mac DeMarco,Another One,spotify:track:3pXAa69soxZ98bQ1gr18HO,0.821,0.694,0.106,0.7390217391304348,0.0276
1,alt-J,Breezeblocks,spotify:track:3n69hLUdIsSa1WlRmjMZlW,0.096,0.616,0.205,0.8212771739130436,0.0344
2,Francesco De Gregori,Rimmel,spotify:track:515XcapFOMtOOiGU31UqNp,0.62,0.5,0.106,0.624891304347826,0.0544
3,Vinicio Capossela,Marajà - 2018 Remaster,spotify:track:70EXIyETxgloAlVkRbO2H9,0.172,0.486,0.059,0.8442391304347827,0.0913
4,The Books,The Lemon of Pink I,spotify:track:6WkwB5tjvgw8zjdKSOfl0S,0.887,0.626,0.178,0.6609782608695652,0.0529
5,Derrick Harriott,The Loser,spotify:track:3AGEHHqBOnAmQiJxxbasJu,0.194,0.725,0.091,0.8528804347826088,0.0481
6,Nouvelle Vague,Making Plans for Nigel,spotify:track:7gGyCiJ8ddyfUbrdGUIgjN,0.36,0.735,0.118,0.6829076086956521,0.0333
7,Raury,All We Need,spotify:track:45tORLTHGyzygZNVnAhYnf,0.397,0.459,0.122,0.7795923913043479,0.0341
8,Metronomy,The Bay,spotify:track:2akjLHnHjDGsgqxuf48VYs,0.587,0.803,0.0723,0.8230706521739131,0.0387
9,One Way,Don't Fight The Feeling,spotify:track:2YTJVQTH4Hxe5GSTbX3Atg,0.17,0.966,0.0442,0.6362771739130434,0.171
10,Karen O,Lux Prima,spotify:track:0A2nyIqL9VGELypstIeNU2,0.728,0.256,0.149,0.7566304347826087,0.0305
11,J.E. Sunde,I Will Smile When I Think of You,spotify:track:5MAfnOpcBJQFxLlsurJ4fI,0.908,0.573,0.128,0.7561141304347827,0.0931
12,Eels,If You See Natalie,spotify:track:0Wt87HXlWlNrpUUZBh2peq,0.842,0.49,0.0988,0.6416576086956521,0.0346
13,Madness,Our House,spotify:track:1EXrFPfVNVsyb32yapebbM,0.0884,0.589,0.0559,0.8545652173913044,0.0401
14,SLACKCiRCUS,Heyyeyaaeyaaaeyaeyaa (Fabulous Secret Powers),spotify:track:0trTpNYmHAK3EihaZBd2h6,0.145,0.666,0.0567,0.7433152173913044,0.155
15,SLACKCiRCUS,Fabulous Secret Powers,spotify:track:0vWlBi56l3M4t34sNbFLVL,0.459,0.612,0.105,0.7138858695652174,0.29
16,Glass Animals,Space Ghost Coast To Coast (with Bree Runway),spotify:track:4mjV2VrBj1vAOV8dFlXs7i,0.0481,0.828,0.107,0.7683967391304349,0.0811
17,Iosonouncane,Il corpo del reato,spotify:track:3ggHg86KSSKbqdMUjmsVqk,0.344,0.672,0.111,0.8355706521739131,0.178
18,Mercanti di Liquore,Apecar,spotify:track:4O9rmx1qPDho7Wt69euley,0.271,0.614,0.0558,0.773858695652174,0.0358
19,IDLES,Damaged Goods,spotify:track:5PRU610vVE9hHvPqfH3qcX,5.63e-05,0.472,0.818,0.8529891304347826,0.0552
20,Tre Allegri Ragazzi Morti,Come mi guardi tu,spotify:track:6tQqL3oM3w4zPnJJD2gxg8,0.806,0.661,0.16,0.8027445652173913,0.123
21,Litfiba,Lacio drom (Buon Viaggio),spotify:track:1w9gFs0X4XBWXVBgkb01P8,0.465,0.646,0.0857,0.7184510869565217,0.03
22,John Prine,Long Monday,spotify:track:5mQsvob7sHv2vRhRkTXOvl,0.754,0.552,0.102,0.6702717391304348,0.0285
23,La Crus,Come ogni volta,spotify:track:1BnQRSpHM64apEiSRxTSpp,0.205,0.567,0.0638,0.7833967391304348,0.034
24,The Jackson 5,I Want You Back,spotify:track:5LxvwujISqiB8vpRYv887S,0.305,0.469,0.37,0.6511413043478261,0.0571
25,Metallica,Nothing Else Matters,spotify:track:0nLiqZ6A27jJri2VCalIUs,0.0458,0.553,0.075,0.7147554347826087,0.0263
26,⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ,ੂ࿃ूੂළඕั✧✧ı̴̴̡ ̡̡͡|̲̲̲͡ ̲̲̲͡͡π̲̲͡͡ ɵੂ≢࿃ूੂ೧ູఠీੂ ඊູཀ ꐑ(ʅ͡͡͡͡͡͡͡͡͡͡͡(ƟӨ)ʃ͡͡͡͡͡͡͡͡͡͡,spotify:track:4BGGy5uWeAl7SfAa28Hacv,0.185,0.737,0.0766,0.7047282608695652,0.0464
27,Donnie Trumpet & The Social Experiment,Familiar,spotify:track:6byH2KwTyfq76lucjvwX2I,0.28,0.804,0.0527,0.7598097826086957,0.255
28,Kevin Morby,Harlem River,spotify:track:0cDQyfkR7kYIBITKccaDmN,0.261,0.607,0.0953,0.7411141304347826,0.0297
29,Fabrizio De André,Ho visto Nina volare,spotify:track:0pwljL7CqXfTjCitfEH4Ez,0.898,0.769,0.0953,0.5870108695652173,0.0616
30,Binker and Moses,Fete by the River,spotify:track:5LN40meLh8TANltH8XwDFP,0.452,0.595,0.115,0.3856521739130435,0.033
31,VIC MENSA,OMG,spotify:track:0WjzD1b6BSkRwmjsx3Iedk,0.0024,0.547,0.127,0.8689945652173914,0.179
32,Deniro Farrar,Duality,spotify:track:4jsyGODRcqtDOUqKxOThGr,0.503,0.841,0.0884,0.6790760869565217,0.0957
33,Aminé,Becky,spotify:track:4PDfwhqOmkkocOHg4Rh4Mq,0.0379,0.579,0.114,0.8935597826086957,0.0402
34,Francesco Guccini,Autogrill - Remastered 2007,spotify:track:0sQoGANsmD91sfWxENJba9,0.244,0.5,0.105,0.8218478260869566,0.0411
35,Damon Albarn,Out of Time,spotify:track:013dkXItCYy64OcHgtU6zg,0.722,0.351,0.792,0.7707065217391305,0.0365
36,CAN,Moonshake,spotify:track:4SeOSrVvAyr7Ebgzd666hM,0.0835,0.798,0.122,0.6437499999999999,0.0422
37,Ryuichi Sakamoto,Merry Christmas Mr. Lawrence,spotify:track:5VuwAhMCz9EMg3RHL1KUEr,0.949,0.493,0.112,0.5291304347826088,0.036
38,Yoko Takahashi,FLY ME TO THE MOON - 2020 Version,spotify:track:56dvEv8PIWFuc5vJQLPM0L,0.243,0.51,0.219,0.8675271739130436,0.0282
39,Blended Babies,"So Slow (feat. Anderson .Paak, King Chip)",spotify:track:6fYr27d1dxrs2tiYW3nOdN,0.602,0.837,0.298,0.7952989130434783,0.351
40,MOX,Mara (feat. Canova),spotify:track:3d3j04qt2JKaNVJwJRJBhY,0.463,0.583,0.306,0.8466847826086957,0.0255
41,Outkast,Hey Ya!,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,0.103,0.727,0.174,0.9581521739130435,0.0664
42,シートベルツ,Tank!,spotify:track:2VqRxxZFbC0uZaTJcZY36c,0.0348,0.539,0.485,0.834429347826087,0.124
43,The Band,The Last Waltz Suite: The Weight (feat. The Staples),spotify:track:3TKOJWYOMrp98OB19y1A0n,0.237,0.557,0.124,0.797608695652174,0.0566
44,Tyler Thomas,Back Again,spotify:track:2bqkvAPhj3O4Z7Gkv0RxZK,0.74,0.652,0.291,0.9072826086956522,0.155
45,Pusha T,Nosetalgia,spotify:track:7aK5rlTVxSgcqShPMI1TTH,0.0255,0.529,0.14,0.9127445652173913,0.326
46,Ducktails,Headbanging in the Mirror,spotify:track:7hsMYfF8XSUTrcRqcZOell,0.00656,0.576,0.0573,0.8452445652173913,0.0289
47,Eugenio Finardi,Extraterrestre,spotify:track:0GAcEsQhbFiXdKX27Zahgp,0.411,0.726,0.105,0.7005434782608696,0.0514
48,Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:5rfT032kGmLvbxZzfHlu5D,0.392,0.271,0.115,0.8803532608695652,0.0329
49,Unknown Mortal Orchestra,Everyone Acts Crazy Nowadays,spotify:track:6VPvz8SZWRFEoawyUTvQTt,0.473,0.816,0.178,0.8852989130434783,0.0828
50,Iosonouncane,cri,spotify:track:04Ogy0bcHp9pLFgYFdIe2K,0.439,0.23,0.277,0.6190760869565217,0.0358
51,Iosonouncane,niran,spotify:track:1uQ2lsCnHylc4BboAsv0Ex,0.000346,0.459,0.317,0.7726902173913044,0.0296
52,Iosonouncane,horizon,spotify:track:2tdAziEDF98hj5GPE5Qnko,0.808,0.11,0.0992,0.5734239130434783,0.0422
53,Iosonouncane,prison,spotify:track:1tsDbKLkr2mX8qMKzkles8,0.242,0.211,0.105,0.6914402173913042,0.0327
54,Iosonouncane,foule,spotify:track:2LGaybyyXFwAIUNp4MdFnH,0.283,0.394,0.13,0.6145923913043478,0.0337
55,Wild Child,"Hold On, Hold You",spotify:track:5NcdrSQ4GgT0eX9yNiVTiJ,0.989,0.321,0.34,0.7425,0.042
56,DL Incognito,Audio Coke,spotify:track:2bKmY1uObcvy8Akw2RHaPC,0.0163,0.794,0.0712,0.8779619565217391,0.378
57,Eartheater,Airborne Ashes,spotify:track:5HfgoFRnFuuHMM67rB9sdC,0.886,0.177,0.0892,0.7162771739130435,0.0382
58,Fred Bongusto,"Spaghetti, pollo, insalatina e una tazzina di caffè",spotify:track:0PUb2ayVE7D5c85MQEXkVU,0.814,0.627,0.837,0.744945652173913,0.166
